"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","avg_tmp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",5.01687812805176,"2021-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",-1.21466851234436,"2021-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",1.73891746997833,"2021-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",-0.914496004581451,"2021-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",-0.70103645324707,"2021-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",1.50252020359039,"2021-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",2.67314314842224,"2021-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",-5.20506954193115,"2021-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",-2.00153803825378,"2021-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",1.50367248058319,"2021-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",3.19591116905212,"2021-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",4.39125728607178,"2021-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",2.71469759941101,"2021-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",-0.391499757766724,"2021-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",3.00900888442993,"2021-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",3.92658996582031,"2021-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",1.35640728473663,"2021-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",-0.66347074508667,"2021-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",-0.192846119403839,"2021-01-01"
