"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","Temp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",5.88859510421753,"2020-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",2.10825204849243,"2020-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",7.77712059020996,"2020-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",6.2711009979248,"2020-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",2.46278429031372,"2020-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",2.710280418396,"2020-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",0.606771349906921,"2020-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",2.27912020683289,"2020-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",NA,"2020-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",2.59333944320679,"2020-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",7.85765790939331,"2020-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",8.84358215332031,"2020-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",4.7229175567627,"2020-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",6.46772813796997,"2020-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",5.47230577468872,"2020-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",6.17348957061768,"2020-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",2.49612045288086,"2020-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",2.12591052055359,"2020-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",3.41853213310242,"2020-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",2.94004392623901,"2020-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",0.808368444442749,"2020-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",4.92870664596558,"2020-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",3.387451171875,"2020-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",5.43280696868896,"2020-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",NA,"2020-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",NA,"2020-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",6.0671329498291,"2020-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",7.10059642791748,"2020-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",4.75369548797607,"2020-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",8.17781257629395,"2020-01-01"
