"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","avg_tmp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",5.68543863296509,"2019-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",3.41058468818665,"2019-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",9.1068868637085,"2019-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",3.29026818275452,"2019-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",3.07771492004395,"2019-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",3.2240355014801,"2019-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",4.96793699264526,"2019-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",0.372855573892593,"2019-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",1.9158079624176,"2019-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",1.38211297988892,"2019-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",2.38496208190918,"2019-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",2.22995138168335,"2019-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",1.76832497119904,"2019-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",2.7199490070343,"2019-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",1.79256415367126,"2019-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",3.14099216461182,"2019-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",5.05974435806274,"2019-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",1.04376304149628,"2019-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",1.33973205089569,"2019-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",3.10741710662842,"2019-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",4.32536745071411,"2019-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",5.33972501754761,"2019-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",4.36758613586426,"2019-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",4.58469772338867,"2019-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",1.24664199352264,"2019-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",7.17168235778809,"2019-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",7.42131805419922,"2019-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",7.46595764160156,"2019-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",6.08363914489746,"2019-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",8.382568359375,"2019-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",7.91950130462646,"2019-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",8.13282680511475,"2019-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",6.89673566818237,"2019-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",7.26506471633911,"2019-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",7.26496601104736,"2019-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",8.10027980804443,"2019-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",7.91998863220215,"2019-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",7.78160572052002,"2019-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",7.69153785705566,"2019-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",5.68881416320801,"2019-01-01"
"41","FRB02",3,"FR","Eure-et-Loir","Eure-et-Loir",4,3,3,"FRB02",6.82316064834595,"2019-01-01"
"42","FRB03",3,"FR","Indre","Indre",4,3,3,"FRB03",6.48371410369873,"2019-01-01"
"43","FRB04",3,"FR","Indre-et-Loire","Indre-et-Loire",4,2,3,"FRB04",6.90863656997681,"2019-01-01"
"44","FRB05",3,"FR","Loir-et-Cher","Loir-et-Cher",4,3,3,"FRB05",6.74950313568115,"2019-01-01"
"45","FRB06",3,"FR","Loiret","Loiret",4,2,3,"FRB06",6.49132490158081,"2019-01-01"
"46","FRC11",3,"FR","Côte-d’Or","Côte-d’Or",4,2,3,"FRC11",4.4836540222168,"2019-01-01"
"47","FRC12",3,"FR","Nièvre","Nièvre",4,3,3,"FRC12",4.73996829986572,"2019-01-01"
"48","FRC13",3,"FR","Saône-et-Loire","Saône-et-Loire",4,3,3,"FRC13",5.047767162323,"2019-01-01"
"49","FRC14",3,"FR","Yonne","Yonne",4,3,3,"FRC14",5.62362384796143,"2019-01-01"
"50","FRC21",3,"FR","Doubs","Doubs",2,2,3,"FRC21",2.13979411125183,"2019-01-01"
"51","FRC22",3,"FR","Jura","Jura",3,3,3,"FRC22",3.05706286430359,"2019-01-01"
"52","FRC23",3,"FR","Haute-Saône","Haute-Saône",4,3,3,"FRC23",4.69033813476562,"2019-01-01"
"53","FRC24",3,"FR","Territoire de Belfort","Territoire de Belfort",4,2,3,"FRC24",3.91674542427063,"2019-01-01"
"54","FRD11",3,"FR","Calvados","Calvados",4,2,1,"FRD11",8.15152359008789,"2019-01-01"
"55","FRD12",3,"FR","Manche","Manche",4,3,1,"FRD12",8.52318096160889,"2019-01-01"
"56","FRD13",3,"FR","Orne","Orne",4,3,3,"FRD13",6.9803638458252,"2019-01-01"
"57","FRD21",3,"FR","Eure","Eure",4,3,1,"FRD21",7.53807497024536,"2019-01-01"
"58","FRD22",3,"FR","Seine-Maritime","Seine-Maritime",4,2,1,"FRD22",8.1775426864624,"2019-01-01"
"59","FRE11",3,"FR","Nord","Nord",4,1,1,"FRE11",7.5926570892334,"2019-01-01"
"60","FRE12",3,"FR","Pas-de-Calais","Pas-de-Calais",4,2,1,"FRE12",8.0779619216919,"2019-01-01"
"61","FRE21",3,"FR","Aisne","Aisne",4,3,3,"FRE21",6.29204893112183,"2019-01-01"
"62","FRE22",3,"FR","Oise","Oise",4,2,3,"FRE22",7.53837537765503,"2019-01-01"
"63","FRE23",3,"FR","Somme","Somme",4,3,1,"FRE23",7.83141565322876,"2019-01-01"
"64","FRF11",3,"FR","Bas-Rhin","Bas-Rhin",4,2,3,"FRF11",5.2064642906189,"2019-01-01"
"65","FRF12",3,"FR","Haut-Rhin","Haut-Rhin",4,2,3,"FRF12",4.36406421661377,"2019-01-01"
"66","FRF21",3,"FR","Ardennes","Ardennes",4,3,3,"FRF21",5.21834421157837,"2019-01-01"
"67","FRF22",3,"FR","Aube","Aube",4,2,3,"FRF22",5.57774114608765,"2019-01-01"
"68","FRF23",3,"FR","Marne","Marne",4,2,3,"FRF23",5.39137077331543,"2019-01-01"
"69","FRF24",3,"FR","Haute-Marne","Haute-Marne",4,3,3,"FRF24",4.88835859298706,"2019-01-01"
"70","FRF31",3,"FR","Meurthe-et-Moselle","Meurthe-et-Moselle",4,2,3,"FRF31",5.10049819946289,"2019-01-01"
"71","FRF32",3,"FR","Meuse","Meuse",4,3,3,"FRF32",5.15150928497314,"2019-01-01"
"72","FRF33",3,"FR","Moselle","Moselle",4,2,3,"FRF33",5.16697549819946,"2019-01-01"
"73","FRF34",3,"FR","Vosges","Vosges",4,3,3,"FRF34",3.71410703659058,"2019-01-01"
"74","FRG01",3,"FR","Loire-Atlantique","Loire-Atlantique",4,1,1,"FRG01",8.23561477661133,"2019-01-01"
"75","FRG02",3,"FR","Maine-et-Loire","Maine-et-Loire",4,2,3,"FRG02",7.69188451766968,"2019-01-01"
"76","FRG03",3,"FR","Mayenne","Mayenne",4,3,3,"FRG03",7.53321838378906,"2019-01-01"
