"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","Temp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",13.4280767440796,"2023-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",8.94451904296875,"2023-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",9.33452033996582,"2023-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",9.06234550476074,"2023-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",9.57398414611816,"2023-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",12.7758436203003,"2023-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",14.3811416625977,"2023-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",6.44236135482788,"2023-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",NA,"2023-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",11.3925838470459,"2023-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",12.3466024398804,"2023-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",12.2737188339233,"2023-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",13.5405912399292,"2023-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",9.93416023254395,"2023-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",11.9696855545044,"2023-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",12.5153751373291,"2023-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",13.8537845611572,"2023-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",10.7781829833984,"2023-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",10.2381858825684,"2023-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",12.6223745346069,"2023-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",12.95139503479,"2023-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",10.4757480621338,"2023-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",10.1771440505981,"2023-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",8.4298267364502,"2023-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",NA,"2023-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",NA,"2023-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",14.0477018356323,"2023-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",13.0721864700317,"2023-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",10.8424081802368,"2023-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",12.5739145278931,"2023-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",12.1773662567139,"2023-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",13.5052099227905,"2023-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",13.0341529846191,"2023-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",12.7937412261963,"2023-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",12.8510208129883,"2023-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",13.2374782562256,"2023-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",13.555775642395,"2023-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",13.3725605010986,"2023-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",13.1697559356689,"2023-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",13.2507286071777,"2023-01-01"
"41","FRB02",3,"FR","Eure-et-Loir","Eure-et-Loir",4,3,3,"FRB02",12.1660861968994,"2023-01-01"
"42","FRB03",3,"FR","Indre","Indre",4,3,3,"FRB03",14.1289415359497,"2023-01-01"
"43","FRB04",3,"FR","Indre-et-Loire","Indre-et-Loire",4,2,3,"FRB04",13.6269254684448,"2023-01-01"
"44","FRB05",3,"FR","Loir-et-Cher","Loir-et-Cher",4,3,3,"FRB05",12.965051651001,"2023-01-01"
"45","FRB06",3,"FR","Loiret","Loiret",4,2,3,"FRB06",13.4696226119995,"2023-01-01"
"46","FRC11",3,"FR","Côte-d’Or","Côte-d’Or",4,2,3,"FRC11",13.2204933166504,"2023-01-01"
"47","FRC12",3,"FR","Nièvre","Nièvre",4,3,3,"FRC12",12.5579710006714,"2023-01-01"
"48","FRC13",3,"FR","Saône-et-Loire","Saône-et-Loire",4,3,3,"FRC13",14.3224678039551,"2023-01-01"
"49","FRC14",3,"FR","Yonne","Yonne",4,3,3,"FRC14",13.1528415679932,"2023-01-01"
"50","FRC21",3,"FR","Doubs","Doubs",2,2,3,"FRC21",NA,"2023-01-01"
"51","FRC22",3,"FR","Jura","Jura",3,3,3,"FRC22",13.0746955871582,"2023-01-01"
"52","FRC23",3,"FR","Haute-Saône","Haute-Saône",4,3,3,"FRC23",14.4605226516724,"2023-01-01"
"53","FRC24",3,"FR","Territoire de Belfort","Territoire de Belfort",4,2,3,"FRC24",13.8632431030273,"2023-01-01"
"54","FRD11",3,"FR","Calvados","Calvados",4,2,1,"FRD11",12.749888420105,"2023-01-01"
"55","FRD12",3,"FR","Manche","Manche",4,3,1,"FRD12",12.1691160202026,"2023-01-01"
"56","FRD13",3,"FR","Orne","Orne",4,3,3,"FRD13",12.5105800628662,"2023-01-01"
"57","FRD21",3,"FR","Eure","Eure",4,3,1,"FRD21",12.6180486679077,"2023-01-01"
