"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","Temp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",3.57769274711609,"2015-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",-0.0716012641787529,"2015-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",4.45706605911255,"2015-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",1.43243157863617,"2015-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",-0.628295481204987,"2015-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",-0.970072686672211,"2015-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",-0.0153132434934378,"2015-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",-1.40439736843109,"2015-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",-0.967507839202881,"2015-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",-0.908754229545593,"2015-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",-0.888260364532471,"2015-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",-0.254284262657166,"2015-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",-1.68738996982574,"2015-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",1.81738150119781,"2015-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",-0.950442373752594,"2015-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",-2.78309655189514,"2015-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",-0.641139805316925,"2015-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",-1.09647071361542,"2015-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",-2.66594433784485,"2015-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",-1.31402182579041,"2015-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",-0.924109160900116,"2015-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",1.41192471981049,"2015-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",1.25010430812836,"2015-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",1.77902579307556,"2015-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",-2.09966111183167,"2015-01-01"
