"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","Temp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",11.1664819717407,"2016-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",4.34248733520508,"2016-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",11.0278816223145,"2016-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",7.02278232574463,"2016-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",6.16352796554565,"2016-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",6.15461730957031,"2016-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",6.65943336486816,"2016-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",3.94367003440857,"2016-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",NA,"2016-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",6.45173072814941,"2016-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",8.17495155334473,"2016-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",8.08597183227539,"2016-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",7.82021284103394,"2016-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",7.7157826423645,"2016-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",8.23874092102051,"2016-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",7.89629554748535,"2016-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",5.16519927978516,"2016-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",4.50080156326294,"2016-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",5.45713996887207,"2016-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",5.50058507919312,"2016-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",5.19276237487793,"2016-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",7.49761199951172,"2016-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",8.36688804626465,"2016-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",4.84562110900879,"2016-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",NA,"2016-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",8.43240165710449,"2016-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",9.75959587097168,"2016-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",8.80290699005127,"2016-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",8.64509868621826,"2016-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",12.0551900863647,"2016-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",9.85559177398682,"2016-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",6.3791012763977,"2016-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",5.61169195175171,"2016-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",5.63526630401611,"2016-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",5.92737102508545,"2016-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",6.50091934204102,"2016-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",6.03543567657471,"2016-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",6.34772443771362,"2016-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",5.58346557617188,"2016-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",5.32927656173706,"2016-01-01"
"41","FRB02",3,"FR","Eure-et-Loir","Eure-et-Loir",4,3,3,"FRB02",6.14645910263062,"2016-01-01"
"42","FRB03",3,"FR","Indre","Indre",4,3,3,"FRB03",6.63659381866455,"2016-01-01"
"43","FRB04",3,"FR","Indre-et-Loire","Indre-et-Loire",4,2,3,"FRB04",7.4345817565918,"2016-01-01"
"44","FRB05",3,"FR","Loir-et-Cher","Loir-et-Cher",4,3,3,"FRB05",6.23380613327026,"2016-01-01"
"45","FRB06",3,"FR","Loiret","Loiret",4,2,3,"FRB06",5.82033395767212,"2016-01-01"
"46","FRC11",3,"FR","Côte-d’Or","Côte-d’Or",4,2,3,"FRC11",5.16774606704712,"2016-01-01"
"47","FRC12",3,"FR","Nièvre","Nièvre",4,3,3,"FRC12",4.5026273727417,"2016-01-01"
"48","FRC13",3,"FR","Saône-et-Loire","Saône-et-Loire",4,3,3,"FRC13",4.69801616668701,"2016-01-01"
"49","FRC14",3,"FR","Yonne","Yonne",4,3,3,"FRC14",5.28167772293091,"2016-01-01"
"50","FRC21",3,"FR","Doubs","Doubs",2,2,3,"FRC21",4.82457447052002,"2016-01-01"
"51","FRC22",3,"FR","Jura","Jura",3,3,3,"FRC22",4.89946222305298,"2016-01-01"
"52","FRC23",3,"FR","Haute-Saône","Haute-Saône",4,3,3,"FRC23",5.88765001296997,"2016-01-01"
"53","FRC24",3,"FR","Territoire de Belfort","Territoire de Belfort",4,2,3,"FRC24",4.72249555587769,"2016-01-01"
"54","FRD11",3,"FR","Calvados","Calvados",4,2,1,"FRD11",6.81026220321655,"2016-01-01"
"55","FRD12",3,"FR","Manche","Manche",4,3,1,"FRD12",7.17916631698608,"2016-01-01"
"56","FRD13",3,"FR","Orne","Orne",4,3,3,"FRD13",6.99823570251465,"2016-01-01"
