"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","Temp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",-0.0109371384605765,"2019-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",-0.301191091537476,"2019-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",3.23440384864807,"2019-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",-1.21574783325195,"2019-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",-1.02757680416107,"2019-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",1.93904614448547,"2019-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",0.759238183498383,"2019-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",-4.42232084274292,"2019-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",NA,"2019-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",-1.69142711162567,"2019-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",-2.12336444854736,"2019-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",0.327622205018997,"2019-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",-0.956949174404144,"2019-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",-2.58043932914734,"2019-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",-0.921866953372955,"2019-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",1.15206849575043,"2019-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",4.05919647216797,"2019-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",-1.23015773296356,"2019-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",0.360546261072159,"2019-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",1.16220426559448,"2019-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",2.62095332145691,"2019-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",2.8154718875885,"2019-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",-0.72940719127655,"2019-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",-2.19240832328796,"2019-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",-4.74611330032349,"2019-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",1.87905442714691,"2019-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",3.15090107917786,"2019-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",0.484213411808014,"2019-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",-2.09413862228394,"2019-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",3.39339399337769,"2019-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",3.03098917007446,"2019-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",7.19986534118652,"2019-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",5.93450164794922,"2019-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",5.54889535903931,"2019-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",4.51827383041382,"2019-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",7.19558477401733,"2019-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",7.39429330825806,"2019-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",7.10875415802002,"2019-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",7.62046957015991,"2019-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",4.7327995300293,"2019-01-01"
"41","FRB02",3,"FR","Eure-et-Loir","Eure-et-Loir",4,3,3,"FRB02",5.96365642547607,"2019-01-01"
"42","FRB03",3,"FR","Indre","Indre",4,3,3,"FRB03",5.8402738571167,"2019-01-01"
"43","FRB04",3,"FR","Indre-et-Loire","Indre-et-Loire",4,2,3,"FRB04",6.41851806640625,"2019-01-01"
"44","FRB05",3,"FR","Loir-et-Cher","Loir-et-Cher",4,3,3,"FRB05",6.14806747436523,"2019-01-01"
"45","FRB06",3,"FR","Loiret","Loiret",4,2,3,"FRB06",5.57299661636353,"2019-01-01"
"46","FRC11",3,"FR","Côte-d’Or","Côte-d’Or",4,2,3,"FRC11",3.66266775131226,"2019-01-01"
"47","FRC12",3,"FR","Nièvre","Nièvre",4,3,3,"FRC12",3.88379049301147,"2019-01-01"
"48","FRC13",3,"FR","Saône-et-Loire","Saône-et-Loire",4,3,3,"FRC13",4.08940267562866,"2019-01-01"
"49","FRC14",3,"FR","Yonne","Yonne",4,3,3,"FRC14",4.86296129226685,"2019-01-01"
"50","FRC21",3,"FR","Doubs","Doubs",2,2,3,"FRC21",0.321941554546356,"2019-01-01"
"51","FRC22",3,"FR","Jura","Jura",3,3,3,"FRC22",1.30336427688599,"2019-01-01"
"52","FRC23",3,"FR","Haute-Saône","Haute-Saône",4,3,3,"FRC23",3.91962313652039,"2019-01-01"
"53","FRC24",3,"FR","Territoire de Belfort","Territoire de Belfort",4,2,3,"FRC24",2.38086342811584,"2019-01-01"
"54","FRD11",3,"FR","Calvados","Calvados",4,2,1,"FRD11",7.27873039245605,"2019-01-01"
"55","FRD12",3,"FR","Manche","Manche",4,3,1,"FRD12",7.66470909118652,"2019-01-01"
"56","FRD13",3,"FR","Orne","Orne",4,3,3,"FRD13",6.17216539382935,"2019-01-01"
