"","NUTSID","LEVL","CNTR","NAME_LATIN","NAME","MOUNT","URBN","COAST","FID","Temp","Date"
"1","FRJ13",3,"FR","Hérault","Hérault",4,2,1,"FRJ13",9.89248943328857,"2016-01-01"
"2","FRJ14",3,"FR","Lozère","Lozère",3,3,3,"FRJ14",4.45442676544189,"2016-01-01"
"3","FRJ15",3,"FR","Pyrénées-Orientales","Pyrénées-Orientales",2,2,1,"FRJ15",8.67593193054199,"2016-01-01"
"4","FRJ21",3,"FR","Ariège","Ariège",3,3,3,"FRJ21",6.31064796447754,"2016-01-01"
"5","FRK24",3,"FR","Isère","Isère",2,2,3,"FRK24",5.42556667327881,"2016-01-01"
"6","FRK25",3,"FR","Loire","Loire",3,2,3,"FRK25",5.68739604949951,"2016-01-01"
"7","FRK26",3,"FR","Rhône","Rhône",2,1,3,"FRK26",6.07794237136841,"2016-01-01"
"8","FRK27",3,"FR","Savoie","Savoie",3,2,3,"FRK27",2.82084727287292,"2016-01-01"
"9","FRK28",3,"FR","Haute-Savoie","Haute-Savoie",3,2,3,"FRK28",NA,"2016-01-01"
"10","FRJ22",3,"FR","Aveyron","Aveyron",3,3,3,"FRJ22",6.36024808883667,"2016-01-01"
"11","FRJ23",3,"FR","Haute-Garonne","Haute-Garonne",4,1,3,"FRJ23",8.13739776611328,"2016-01-01"
"12","FRJ24",3,"FR","Gers","Gers",4,3,3,"FRJ24",8.10939884185791,"2016-01-01"
"13","FRJ25",3,"FR","Lot","Lot",4,3,3,"FRJ25",7.79626321792603,"2016-01-01"
"14","FRJ26",3,"FR","Hautes-Pyrénées","Hautes-Pyrénées",2,3,3,"FRJ26",6.59056854248047,"2016-01-01"
"15","FRJ27",3,"FR","Tarn","Tarn",4,3,3,"FRJ27",7.94257020950317,"2016-01-01"
"16","FRJ28",3,"FR","Tarn-et-Garonne","Tarn-et-Garonne",4,3,3,"FRJ28",8.01692199707031,"2016-01-01"
"17","FRK11",3,"FR","Allier","Allier",4,3,3,"FRK11",5.02199745178223,"2016-01-01"
"18","FRK12",3,"FR","Cantal","Cantal",3,3,3,"FRK12",4.1597957611084,"2016-01-01"
"19","FRK13",3,"FR","Haute-Loire","Haute-Loire",3,3,3,"FRK13",5.09777116775513,"2016-01-01"
"20","FRK14",3,"FR","Puy-de-Dôme","Puy-de-Dôme",3,2,3,"FRK14",4.96506404876709,"2016-01-01"
"21","FRK21",3,"FR","Ain","Ain",4,3,3,"FRK21",4.9186282157898,"2016-01-01"
"22","FRK22",3,"FR","Ardèche","Ardèche",3,3,3,"FRK22",6.57800674438477,"2016-01-01"
"23","FRK23",3,"FR","Drôme","Drôme",2,3,3,"FRK23",7.48297452926636,"2016-01-01"
"24","FRL01",3,"FR","Alpes-de-Haute-Provence","Alpes-de-Haute-Provence",3,3,3,"FRL01",3.81174039840698,"2016-01-01"
"25","FRL02",3,"FR","Hautes-Alpes","Hautes-Alpes",3,3,3,"FRL02",NA,"2016-01-01"
"26","FRL03",3,"FR","Alpes-Maritimes","Alpes-Maritimes",2,1,1,"FRL03",NA,"2016-01-01"
"27","FRL04",3,"FR","Bouches-du-Rhône","Bouches-du-Rhône",4,1,1,"FRL04",9.42409324645996,"2016-01-01"
"28","FRL05",3,"FR","Var","Var",2,2,1,"FRL05",7.53713417053223,"2016-01-01"
"29","FRL06",3,"FR","Vaucluse","Vaucluse",2,2,3,"FRL06",7.36291074752808,"2016-01-01"
"30","FRM01",3,"FR","Corse-du-Sud","Corse-du-Sud",3,3,1,"FRM01",10.0353899002075,"2016-01-01"
"31","FRM02",3,"FR","Haute-Corse","Haute-Corse",3,3,1,"FRM02",8.11303520202637,"2016-01-01"
"32","FR101",3,"FR","Paris","Paris",4,1,3,"FR101",6.85762166976929,"2016-01-01"
"33","FR102",3,"FR","Seine-et-Marne","Seine-et-Marne",4,2,3,"FR102",5.49463987350464,"2016-01-01"
"34","FR103",3,"FR","Yvelines","Yvelines",4,1,3,"FR103",5.60300397872925,"2016-01-01"
"35","FR104",3,"FR","Essonne","Essonne",4,1,3,"FR104",5.83380079269409,"2016-01-01"
"36","FR105",3,"FR","Hauts-de-Seine","Hauts-de-Seine",4,1,3,"FR105",6.76310014724731,"2016-01-01"
"37","FR106",3,"FR","Seine-Saint-Denis","Seine-Saint-Denis",4,1,3,"FR106",5.94131231307983,"2016-01-01"
"38","FR107",3,"FR","Val-de-Marne","Val-de-Marne",4,1,3,"FR107",6.38797378540039,"2016-01-01"
"39","FR108",3,"FR","Val-d’Oise","Val-d’Oise",4,1,3,"FR108",5.45142126083374,"2016-01-01"
"40","FRB01",3,"FR","Cher","Cher",4,3,3,"FRB01",5.26391410827637,"2016-01-01"
